1.304,01/03/1992
0.597,01/04/1992
-0.691,01/05/1992
0.188,01/06/1992
0.231,01/07/1992
3.806,01/08/1992
-0.498,01/09/1992
0.69,01/10/1992
0.404,01/11/1992
-1.726,01/12/1992
1.463,01/01/1993
-1.882,01/02/1993
-1.223,01/03/1993
-0.586,01/04/1993
1.488,01/05/1993
0.286,01/06/1993
-0.429,01/07/1993
0.823,01/08/1993
-0.418,01/09/1993
2.018,01/10/1993
-4.857,01/11/1993
1.915,01/12/1993
4.497,01/01/1994
1.457,01/02/1994
3.031,01/03/1994
1.617,01/04/1994
0.967,01/05/1994
0.069,01/06/1994
1.832,01/07/1994
1.615,01/08/1994
4.253,01/09/1994
-0.074,01/10/1994
-0.492,01/11/1994
0.079,01/12/1994
0.349,01/01/1995
4.982,01/02/1995
1.312,01/03/1995
-0.07,01/04/1995
-0.563,01/05/1995
0.831,01/06/1995
1.876,01/07/1995
0.157,01/08/1995
-0.66,01/09/1995
0.441,01/10/1995
-3.848,01/11/1995
-1.43,01/12/1995
-0.683,01/01/1996
-2.526,01/02/1996
-4.027,01/03/1996
-0.297,01/04/1996
2.692,01/05/1996
1.287,01/06/1996
-0.165,01/07/1996
0.276,01/08/1996
-2.77,01/09/1996
0.151,01/10/1996
2.4,01/11/1996
-0.701,01/12/1996
0.381,01/01/1997
1.505,01/02/1997
-0.045,01/03/1997
-3.536,01/04/1997
1.261,01/05/1997
0.602,01/06/1997
-0.325,01/07/1997
-0.611,01/08/1997
-1.594,01/09/1997
-2.259,01/10/1997
0.237,01/11/1997
0.597,01/12/1997
3.317,01/01/1998
3.365,01/02/1998
-0.92,01/03/1998
2.395,01/04/1998
-0.136,01/05/1998
1.354,01/06/1998
0.951,01/07/1998
1.05,01/08/1998
-0.715,01/09/1998
0.989,01/10/1998
-2.814,01/11/1998
-4.387,01/12/1998
2.357,01/01/1999
0.67,01/02/1999
1.935,01/03/1999
1.421,01/04/1999
-0.26,01/05/1999
1.817,01/06/1999
2.024,01/07/1999
0.968,01/08/1999
1.617,01/09/1999
0.457,01/10/1999
-1.272,01/11/1999
0.805,01/12/1999
-1.54,01/01/2000
2.204,01/02/2000
1.115,01/03/2000
3.19,01/04/2000
1.711,01/05/2000
1.111,01/06/2000
1.007,01/07/2000
2.103,01/08/2000
-0.495,01/09/2000
1.239,01/10/2000
3.479,01/11/2000
2.416,01/12/2000
3.564,01/01/2001
2.368,01/02/2001
4.101,01/03/2001
0.475,01/04/2001
0.757,01/05/2001
-0.853,01/06/2001
2.167,01/07/2001
2.41,01/08/2001
0.115,01/09/2001
2.353,01/10/2001
-1.628,01/11/2001
-5.084,01/12/2001
1.063,01/01/2002
5.825,01/02/2002
3.482,01/03/2002
0.022,01/04/2002
2.162,01/05/2002
1.503,01/06/2002
2.856,01/07/2002
0.615,01/08/2002
-0.122,01/09/2002
0.176,01/10/2002
1.922,01/11/2002
-3.285,01/12/2002
0.872,01/01/2003
-4.132,01/02/2003
-0.979,01/03/2003
-1.049,01/04/2003
4.049,01/05/2003
2.503,01/06/2003
1.219,01/07/2003
2.62,01/08/2003
-0.269,01/09/2003
-1.341,01/10/2003
1.323,01/11/2003
0.151,01/12/2003
-0.729,01/01/2004
1.078,01/02/2004
1.762,01/03/2004
1.046,01/04/2004
-0.73,01/05/2004
0.069,01/06/2004
0.695,01/07/2004
0.557,01/08/2004
-0.086,01/09/2004
1.868,01/10/2004
0.772,01/11/2004
1.557,01/12/2004
2.754,01/01/2005
-2.273,01/02/2005
-1.097,01/03/2005
0.389,01/04/2005
1.109,01/05/2005
-0.639,01/06/2005
0.714,01/07/2005
0.427,01/08/2005
1.054,01/09/2005
0.334,01/10/2005
-0.981,01/11/2005
0.857,01/12/2005
-1.808,01/01/2006
-0.819,01/02/2006
0.156,01/03/2006
1.402,01/04/2006
0.311,01/05/2006
0.275,01/06/2006
1.328,01/07/2006
0.649,01/08/2006
0.994,01/09/2006
1.73,01/10/2006
0.912,01/11/2006
1.973,01/12/2006
6.631,01/01/2007
3.524,01/02/2007
3.405,01/03/2007
0.842,01/04/2007
2.664,01/05/2007
2.755,01/06/2007
3.146,01/07/2007
2.352,01/08/2007
-0.651,01/09/2007
0.357,01/10/2007
-1.947,01/11/2007
-0.873,01/12/2007
1.368,01/01/2008
3.012,01/02/2008
3.146,01/03/2008
1.424,01/04/2008
0.773,01/05/2008
1.556,01/06/2008
0.796,01/07/2008
2.34,01/08/2008
-0.613,01/09/2008
1.7,01/10/2008
0.954,01/11/2008
1.976,01/12/2008
1.514,01/01/2009
1.606,01/02/2009
1.078,01/03/2009
2.117,01/04/2009
1.356,01/05/2009
1.106,01/06/2009
1.909,01/07/2009
1.601,01/08/2009
1.68,01/09/2009
0.918,01/10/2009
1.988,01/11/2009
0.822,01/12/2009
-0.305,01/01/2010
1.086,01/02/2010
1.162,01/03/2010
0.949,01/04/2010
1.213,01/05/2010
1.133,01/06/2010
1.929,01/07/2010
2.976,01/08/2010
0.175,01/09/2010
-2.149,01/10/2010
4.476,01/11/2010
-0.749,01/12/2010
1.081,01/01/2011
-0.809,01/02/2011
0.865,01/03/2011
0.418,01/04/2011
0.612,01/05/2011
1.159,01/06/2011
1.381,01/07/2011
1.652,01/08/2011
3.21,01/09/2011
-0.823,01/10/2011
-2.541,01/11/2011
2.107,01/12/2011
1.134,01/01/2012
-5.22,01/02/2012
1.742,01/03/2012
2.425,01/04/2012
1.839,01/05/2012
2.869,01/06/2012
4.372,01/07/2012
2.83,01/08/2012
2.93,01/09/2012
2.472,01/10/2012
1.923,01/11/2012
-1.588,01/12/2012
1.764,01/01/2013
2.789,01/02/2013
0.066,01/03/2013
2.365,01/04/2013
2.64,01/05/2013
1.452,01/06/2013
1.02,01/07/2013
2.347,01/08/2013
-0.839,01/09/2013
1.118,01/10/2013
2.865,01/11/2013
0.118,01/12/2013
3.608,01/01/2014
3.19,01/02/2014
