,Area,Months,Element,Year,Temperature,Date,DateInt
256,Romania,9,Temperature change,1971,-2.039,1971-09-01,197109.0
258,Romania,10,Temperature change,1971,-1.585,1971-10-01,197110.0
260,Romania,11,Temperature change,1971,-0.575,1971-11-01,197111.0
262,Romania,12,Temperature change,1971,1.296,1971-12-01,197112.0
264,Romania,1,Temperature change,1972,-0.249,1972-01-01,197201.0
266,Romania,2,Temperature change,1972,1.462,1972-02-01,197202.0
268,Romania,3,Temperature change,1972,1.71,1972-03-01,197203.0
270,Romania,4,Temperature change,1972,2.413,1972-04-01,197204.0
272,Romania,5,Temperature change,1972,0.469,1972-05-01,197205.0
274,Romania,6,Temperature change,1972,1.084,1972-06-01,197206.0
276,Romania,7,Temperature change,1972,0.962,1972-07-01,197207.0
278,Romania,8,Temperature change,1972,-0.316,1972-08-01,197208.0
280,Romania,9,Temperature change,1972,-2.192,1972-09-01,197209.0
282,Romania,10,Temperature change,1972,-2.39,1972-10-01,197210.0
284,Romania,11,Temperature change,1972,0.145,1972-11-01,197211.0
286,Romania,12,Temperature change,1972,0.012,1972-12-01,197212.0
288,Romania,1,Temperature change,1973,0.016,1973-01-01,197301.0
290,Romania,2,Temperature change,1973,2.128,1973-02-01,197302.0
292,Romania,3,Temperature change,1973,-1.161,1973-03-01,197303.0
294,Romania,4,Temperature change,1973,-0.066,1973-04-01,197304.0
296,Romania,5,Temperature change,1973,0.493,1973-05-01,197305.0
298,Romania,6,Temperature change,1973,-0.731,1973-06-01,197306.0
300,Romania,7,Temperature change,1973,-0.076,1973-07-01,197307.0
302,Romania,8,Temperature change,1973,-0.833,1973-08-01,197308.0
304,Romania,9,Temperature change,1973,0.898,1973-09-01,197309.0
306,Romania,10,Temperature change,1973,-0.494,1973-10-01,197310.0
308,Romania,11,Temperature change,1973,-2.983,1973-11-01,197311.0
310,Romania,12,Temperature change,1973,-1.38,1973-12-01,197312.0
312,Romania,1,Temperature change,1974,0.162,1974-01-01,197401.0
314,Romania,2,Temperature change,1974,3.46,1974-02-01,197402.0
316,Romania,3,Temperature change,1974,1.708,1974-03-01,197403.0
318,Romania,4,Temperature change,1974,-1.882,1974-04-01,197404.0
320,Romania,5,Temperature change,1974,-1.286,1974-05-01,197405.0
322,Romania,6,Temperature change,1974,-1.455,1974-06-01,197406.0
324,Romania,7,Temperature change,1974,-1.118,1974-07-01,197407.0
326,Romania,8,Temperature change,1974,0.811,1974-08-01,197408.0
328,Romania,9,Temperature change,1974,0.835,1974-09-01,197409.0
330,Romania,10,Temperature change,1974,-0.027,1974-10-01,197410.0
332,Romania,11,Temperature change,1974,-1.095,1974-11-01,197411.0
334,Romania,12,Temperature change,1974,1.277,1974-12-01,197412.0
