t_chg,date,tavg,tmin,tmax
1.888,01/10/1981,13.6,6.9,20.2
-1.944,01/11/1981,4.1,0.3,8.7
0.349,01/12/1981,1.6,-1.5,5.3
-0.616,01/01/1982,-1.8,-5.5,2.4
-2.145,01/02/1982,-1.8,-5.4,2.5
-0.166,01/03/1982,4.3,0.1,9.5
-2.027,01/04/1982,9.5,4.0,15.6
1.03,01/05/1982,17.6,9.9,24.9
0.266,01/06/1982,20.5,12.8,28.0
-0.832,01/07/1982,20.8,14.5,27.3
0.26,01/08/1982,21.4,15.1,27.6
2.74,01/09/1982,19.3,12.4,26.4
1.061,01/10/1982,11.9,6.2,18.8
-0.747,01/11/1982,3.6,-1.3,9.3
3.007,01/12/1982,3.5,0.2,8.2
3.956,01/01/1983,2.1,-2.2,6.8
-0.247,01/02/1983,0.8,-4.1,6.0
2.362,01/03/1983,7.2,0.6,14.7
2.432,01/04/1983,13.5,5.9,21.6
2.004,01/05/1983,18.6,11.1,26.1
-0.649,01/06/1983,19.4,13.6,25.7
0.661,01/07/1983,22.6,16.2,29.6
-0.44,01/08/1983,20.5,14.4,27.2
0.602,01/09/1983,18.1,10.0,26.0
-0.505,01/10/1983,10.7,3.4,18.1
-3.323,01/11/1983,1.6,-3.5,7.1
-0.812,01/12/1983,-1.1,-3.8,1.9
2.741,01/01/1984,1.3,-1.3,4.4
-0.597,01/02/1984,-0.3,-2.2,1.9
-1.097,01/03/1984,3.5,0.3,7.2
-1.093,01/04/1984,9.3,4.8,14.4
0.549,01/05/1984,17.2,10.5,23.8
-1.553,01/06/1984,18.9,12.0,25.2
-1.771,01/07/1984,20.5,14.0,26.5
-1.236,01/08/1984,19.8,12.9,26.4
1.31,01/09/1984,18.9,11.5,26.9
2.351,01/10/1984,14.1,7.0,22.0
-0.524,01/11/1984,4.5,0.5,8.4
-1.274,01/12/1984,-0.7,-3.3,2.3
-3.8,01/01/1985,-6.4,-10.5,-2.3
-6.913,01/02/1985,-7.7,-13.3,-1.7
-1.226,01/03/1985,1.3,-1.5,5.3
0.952,01/04/1985,13.2,6.5,19.8
2.023,01/05/1985,19.3,11.9,26.3
-1.434,01/06/1985,19.9,13.4,26.4
-0.4,01/07/1985,22.0,14.7,28.9
0.787,01/08/1985,22.3,15.9,29.5
-0.619,01/09/1985,16.8,9.5,24.6
-1.141,01/10/1985,10.2,3.3,17.2
-1.306,01/11/1985,4.1,1.3,8.1
2.126,01/12/1985,1.9,-1.3,6.1
2.345,01/01/1986,1.1,-1.6,4.1
-2.744,01/02/1986,-2.9,-4.9,-0.5
-0.062,01/03/1986,4.2,0.5,8.7
2.452,01/04/1986,13.7,6.1,21.3
1.705,01/05/1986,18.3,10.4,25.1
0.159,01/06/1986,20.7,14.9,26.6
-0.836,01/07/1986,21.4,15.0,27.7
1.404,01/08/1986,23.5,15.3,31.2
0.686,01/09/1986,17.8,9.8,26.2
-0.797,01/10/1986,10.5,5.0,16.7
-1.27,01/11/1986,4.3,1.1,8.3
-1.953,01/12/1986,-1.6,-5.8,2.5
-2.706,01/01/1987,-4.6,-7.6,-0.8
-0.098,01/02/1987,-0.6,-4.0,3.9
-4.939,01/03/1987,0.2,-4.3,5.3
-1.15,01/04/1987,9.5,3.6,16.1
-1.176,01/05/1987,14.8,9.8,21.0
0.506,01/06/1987,21.2,14.3,28.0
2.169,01/07/1987,24.0,16.7,31.2
-1.427,01/08/1987,20.7,14.0,28.1
2.178,01/09/1987,19.3,12.2,27.4
-0.708,01/10/1987,9.9,5.6,15.4
0.538,01/11/1987,6.4,3.0,10.8
-0.116,01/12/1987,-0.1,-2.6,3.3
3.726,01/01/1988,0.9,-1.2,4.1
1.504,01/02/1988,1.0,-2.8,6.5
0.355,01/03/1988,5.6,1.5,11.3
-0.985,01/04/1988,9.3,4.7,15.8
0.308,01/05/1988,16.4,9.9,22.8
-0.401,01/06/1988,20.3,14.4,26.7
2.189,01/07/1988,24.8,18.4,31.6
1.055,01/08/1988,22.6,15.1,30.6
0.201,01/09/1988,17.7,11.6,24.8
-1.145,01/10/1988,9.2,3.4,16.3
-5.637,01/11/1988,0.0,-3.0,4.5
-0.198,01/12/1988,-0.2,-2.9,3.4
2.185,01/01/1989,-0.2,-4.1,4.5
3.472,01/02/1989,3.6,-1.1,9.6
3.565,01/03/1989,8.9,2.2,15.3
3.0,01/04/1989,13.6,7.5,20.9
-0.532,01/05/1989,16.0,9.9,21.9
-1.255,01/06/1989,19.0,13.5,25.6
-0.155,01/07/1989,22.1,15.4,28.7
0.727,01/08/1989,23.2,16.1,30.7
-0.372,01/09/1989,16.8,11.5,23.2
0.294,01/10/1989,11.6,5.6,18.6
-1.747,01/11/1989,4.0,0.5,8.7
0.421,01/12/1989,0.6,-3.6,5.6
1.113,01/01/1990,-4.1,-7.9,0.7
4.494,01/02/1990,4.1,-0.5,9.4
4.757,01/03/1990,10.2,2.6,17.6
0.518,01/04/1990,11.4,5.0,18.2
0.143,01/05/1990,16.5,9.3,23.6
-0.302,01/06/1990,20.4,13.3,26.9
0.26,01/07/1990,22.7,15.1,30.1
0.472,01/08/1990,22.1,14.0,29.8
-1.184,01/09/1990,16.6,9.6,24.1
0.725,01/10/1990,11.6,4.0,19.3
1.778,01/11/1990,7.1,2.0,13.5
0.423,01/12/1990,1.4,-0.2,4.0
2.254,01/01/1991,0.6,-3.2,5.6
-2.113,01/02/1991,-3.0,-6.7,1.2
1.616,01/03/1991,5.0,0.9,10.2
-0.738,01/04/1991,10.5,5.4,16.6
-2.267,01/05/1991,14.2,8.4,20.1
0.259,01/06/1991,20.4,13.9,26.8
0.952,01/07/1991,22.4,16.2,28.6
-0.386,01/08/1991,20.5,14.7,27.2
0.351,01/09/1991,16.4,9.7,24.6
0.014,01/10/1991,10.7,6.0,17.4
0.046,01/11/1991,4.7,1.3,8.8
-3.182,01/12/1991,-3.5,-6.8,0.1
1.022,01/01/1992,-2.0,-5.3,2.2
0.468,01/02/1992,-0.1,-5.1,6.3
1.304,01/03/1992,5.9,0.6,12.6
0.597,01/04/1992,10.9,4.6,18.2
-0.691,01/05/1992,15.0,7.5,22.3
0.188,01/06/1992,20.0,13.8,26.3
0.231,01/07/1992,22.0,14.1,28.8
3.806,01/08/1992,24.9,15.2,33.0
-0.498,01/09/1992,15.5,8.6,24.1
0.69,01/10/1992,11.3,6.1,18.7
0.404,01/11/1992,5.7,0.9,12.4
-1.726,01/12/1992,-2.3,-6.0,2.7
1.463,01/01/1993,-1.5,-6.3,4.8
-1.882,01/02/1993,-2.1,-7.1,4.6
-1.223,01/03/1993,2.4,-1.8,7.9
-0.586,01/04/1993,10.1,3.6,17.2
1.488,01/05/1993,16.9,10.4,23.6
0.286,01/06/1993,20.2,13.0,27.3
-0.429,01/07/1993,21.3,13.0,29.4
0.823,01/08/1993,21.6,14.1,29.5
-0.418,01/09/1993,15.8,8.4,25.2
2.018,01/10/1993,12.1,7.8,18.8
-4.857,01/11/1993,-0.6,-4.5,3.6
1.915,01/12/1993,1.6,-2.4,6.5
4.497,01/01/1994,2.4,-0.8,6.8
1.457,01/02/1994,1.4,-2.8,6.5
3.031,01/03/1994,8.0,1.9,15.7
1.617,01/04/1994,12.9,7.0,19.5
0.967,01/05/1994,18.0,10.1,25.4
0.069,01/06/1994,20.8,13.3,27.6
1.832,01/07/1994,23.0,17.0,29.2
1.615,01/08/1994,22.5,15.2,30.2
4.253,01/09/1994,20.7,13.8,29.8
-0.074,01/10/1994,10.5,6.1,17.1
-0.492,01/11/1994,3.8,-1.0,10.2
0.079,01/12/1994,0.5,-2.6,4.4
0.349,01/01/1995,-2.0,-5.3,1.5
4.982,01/02/1995,4.7,0.0,11.0
1.312,01/03/1995,6.1,0.8,12.9
-0.07,01/04/1995,11.2,4.5,18.4
-0.563,01/05/1995,15.7,9.2,22.6
0.831,01/06/1995,21.0,14.6,28.1
1.876,01/07/1995,23.3,16.7,29.7
0.157,01/08/1995,20.6,13.9,28.3
-0.66,01/09/1995,15.7,10.2,23.6
0.441,01/10/1995,9.8,4.5,17.7
-3.848,01/11/1995,1.5,-2.0,5.9
-1.43,01/12/1995,-1.9,-4.3,1.2
-0.683,01/01/1996,-3.0,-5.5,-0.5
-2.526,01/02/1996,-3.2,-6.4,0.8
-4.027,01/03/1996,-0.2,-3.7,4.1
-0.297,01/04/1996,9.9,3.8,16.6
2.692,01/05/1996,19.0,11.8,26.4
1.287,01/06/1996,21.8,14.3,28.9
-0.165,01/07/1996,22.3,14.4,29.7
0.276,01/08/1996,21.3,14.9,28.9
-2.77,01/09/1996,14.3,10.1,20.7
0.151,01/10/1996,10.3,5.7,17.5
2.4,01/11/1996,6.4,2.3,12.7
-0.701,01/12/1996,0.3,-1.7,3.2
0.381,01/01/1997,-3.3,-6.0,0.3
1.505,01/02/1997,0.7,-3.5,6.7
-0.045,01/03/1997,4.2,-0.7,11.1
-3.536,01/04/1997,7.3,2.6,12.7
1.261,01/05/1997,17.6,9.4,25.4
0.602,01/06/1997,21.1,14.4,28.0
-0.325,01/07/1997,21.4,14.6,28.6
-0.611,01/08/1997,20.1,14.8,26.8
-1.594,01/09/1997,14.0,7.7,22.8
-2.259,01/10/1997,8.2,2.8,16.4
0.237,01/11/1997,4.9,1.6,9.9
0.597,01/12/1997,0.0,-2.7,4.1
3.317,01/01/1998,-0.4,-3.9,4.7
3.365,01/02/1998,1.9,-2.9,8.6
-0.92,01/03/1998,4.5,-0.2,10.8
2.395,01/04/1998,13.5,6.9,21.4
-0.136,01/05/1998,16.3,10.3,22.7
1.354,01/06/1998,21.4,14.1,28.7
0.951,01/07/1998,23.3,15.3,31.2
1.05,01/08/1998,22.9,14.8,31.8
-0.715,01/09/1998,15.4,10.3,22.4
0.989,01/10/1998,10.9,5.7,18.4
-2.814,01/11/1998,2.3,-1.1,6.5
-4.387,01/12/1998,-5.5,-9.6,-0.8
2.357,01/01/1999,-0.2,-2.4,2.7
0.67,01/02/1999,0.7,-3.8,6.4
1.935,01/03/1999,6.2,0.8,13.2
1.421,01/04/1999,11.9,6.0,18.6
-0.26,01/05/1999,15.6,8.9,22.7
1.817,01/06/1999,22.2,14.7,29.2
2.024,01/07/1999,24.0,17.2,30.7
0.968,01/08/1999,21.7,15.6,29.0
1.617,01/09/1999,17.3,12.2,24.6
0.457,01/10/1999,10.6,6.1,17.0
-1.272,01/11/1999,4.4,0.6,9.9
0.805,01/12/1999,1.6,-1.6,6.1
-1.54,01/01/2000,-4.8,-8.9,-0.2
2.204,01/02/2000,1.8,-2.2,7.4
1.115,01/03/2000,5.6,0.2,12.9
3.19,01/04/2000,14.0,7.9,21.0
1.711,01/05/2000,17.8,8.9,25.6
1.111,01/06/2000,21.6,12.8,29.1
1.007,01/07/2000,24.0,15.2,32.1
2.103,01/08/2000,23.4,14.4,31.7
-0.495,01/09/2000,15.5,10.2,22.8
1.239,01/10/2000,10.1,4.5,17.7
3.479,01/11/2000,7.8,4.1,13.3
2.416,01/12/2000,2.5,-0.9,6.7
3.564,01/01/2001,0.6,-2.3,4.6
2.368,01/02/2001,1.9,-2.5,7.9
4.101,01/03/2001,7.0,1.4,15.1
0.475,01/04/2001,10.0,3.5,17.3
0.757,01/05/2001,15.7,7.9,23.7
-0.853,01/06/2001,18.6,11.7,25.9
2.167,01/07/2001,23.2,15.5,31.5
2.41,01/08/2001,23.3,15.1,32.3
0.115,01/09/2001,17.0,11.4,24.7
2.353,01/10/2001,11.8,5.4,21.0
-1.628,01/11/2001,3.3,-1.5,9.6
-5.084,01/12/2001,-4.0,-7.2,-0.1
1.063,01/01/2002,-2.8,-7.1,2.5
5.825,01/02/2002,4.4,-2.1,13.8
3.482,01/03/2002,7.7,1.1,15.7
0.022,01/04/2002,9.5,3.4,16.1
2.162,01/05/2002,17.9,8.6,26.2
